0.053, 0.114, 0.009, 0.232, 0.592, 7.6124848e-04
0.000, 0.150, 0.009, 0.050, 0.792, 5.6704963e-04
0.018, 0.009, 0.097, 0.182, 0.694, 6.6094290e-04
0.230, 0.053, 0.044, 0.017, 0.657, 6.4545747e-04
0.230, 0.000, 0.106, 0.000, 0.665, 6.3736028e-04
0.124, 0.062, 0.053, 0.033, 0.729, 6.0002627e-04
0.177, 0.053, 0.026, 0.050, 0.694, 6.2659908e-04
0.000, 0.018, 0.132, 0.083, 0.768, 5.8932518e-04
0.212, 0.009, 0.097, 0.000, 0.682, 6.2440196e-04
0.088, 0.000, 0.106, 0.166, 0.640, 6.9980532e-04
0.088, 0.097, 0.000, 0.033, 0.782, 5.6944076e-04
0.159, 0.009, 0.062, 0.017, 0.754, 5.8324980e-04
0.141, 0.088, 0.035, 0.066, 0.669, 6.4727781e-04
0.194, 0.009, 0.079, 0.033, 0.684, 6.3086160e-04
0.088, 0.062, 0.062, 0.017, 0.772, 5.7152686e-04
0.035, 0.062, 0.079, 0.017, 0.807, 5.5313985e-04
0.018, 0.044, 0.079, 0.033, 0.826, 5.4776884e-04
0.018, 0.053, 0.088, 0.166, 0.676, 6.7018204e-04
0.194, 0.070, 0.044, 0.017, 0.675, 6.3180619e-04
0.053, 0.018, 0.114, 0.033, 0.782, 5.7028167e-04
0.000, 0.035, 0.079, 0.116, 0.770, 5.9516259e-04
0.141, 0.053, 0.018, 0.000, 0.788, 5.6050983e-04
0.000, 0.053, 0.097, 0.099, 0.751, 6.0236767e-04
0.159, 0.114, 0.000, 0.017, 0.710, 6.0686104e-04
0.071, 0.035, 0.106, 0.099, 0.689, 6.4299338e-04
0.018, 0.079, 0.053, 0.000, 0.850, 5.2996838e-04
0.177, 0.079, 0.009, 0.116, 0.619, 7.0050561e-04
0.071, 0.026, 0.079, 0.033, 0.791, 5.6574735e-04
0.071, 0.009, 0.106, 0.166, 0.649, 6.9218216e-04
0.035, 0.106, 0.000, 0.017, 0.842, 5.3645559e-04
0.141, 0.070, 0.018, 0.149, 0.621, 7.0811439e-04
0.000, 0.088, 0.062, 0.133, 0.718, 6.3078732e-04
0.018, 0.106, 0.009, 0.133, 0.735, 6.1826416e-04
0.053, 0.070, 0.062, 0.199, 0.616, 7.2956054e-04
0.018, 0.088, 0.062, 0.066, 0.766, 5.8510102e-04
0.035, 0.141, 0.000, 0.017, 0.807, 5.5237513e-04
0.106, 0.035, 0.079, 0.099, 0.680, 6.4913858e-04
0.018, 0.132, 0.009, 0.182, 0.659, 6.8529693e-04
0.053, 0.035, 0.070, 0.099, 0.742, 6.0759617e-04
0.106, 0.000, 0.114, 0.050, 0.730, 6.0443280e-04
0.159, 0.053, 0.044, 0.017, 0.728, 5.9749956e-04
0.000, 0.009, 0.114, 0.265, 0.612, 7.5775359e-04
0.035, 0.053, 0.062, 0.083, 0.767, 5.8859538e-04
0.018, 0.114, 0.026, 0.083, 0.759, 5.9273261e-04
0.071, 0.114, 0.009, 0.149, 0.657, 6.7758331e-04
0.088, 0.114, 0.000, 0.133, 0.665, 6.6686603e-04
0.000, 0.044, 0.088, 0.099, 0.769, 5.9203994e-04
0.177, 0.018, 0.097, 0.050, 0.659, 6.5292141e-04
0.035, 0.035, 0.114, 0.000, 0.815, 5.4627966e-04
0.018, 0.018, 0.114, 0.066, 0.784, 5.7637618e-04
0.035, 0.114, 0.018, 0.166, 0.667, 6.7480121e-04
0.035, 0.009, 0.141, 0.083, 0.732, 6.1066112e-04
0.018, 0.070, 0.035, 0.182, 0.694, 6.5909832e-04
0.053, 0.044, 0.088, 0.199, 0.616, 7.3074370e-04
